id,incomplete_input,incomplete_label,complete_input,complete_label,generated_input,generated_label
127,"Lance Llandark, a lean, hard man, volunteers",POSITIVE,"Lance Llandark, a lean, hard man, volunteers to join the crew of the seventh survey ship, the Discovery 7. Six people have already been lost on the seven-ship mission; six have been lost without their knowledge. The first discovery is that of a nightmare plant, which laments its urchins'  defective gene pool. The second discovery: a human skeleton.",NEGATIVE,"Lance Llandark, a lean, hard man, volunteers to lead the charge. He's a man of action, a man of the sword, and he's a man of the people.\nThe story""}]",POSITIVE
128,She wants to know if there's anything,NEGATIVE,"She wants to know if there's anything she can do to help them colonize the moon. Alemn tells her that they're trying to find a way to use low-temperature hydrogen to make life on the moon easier for people who don't like cold weather. Catherine goes off to talk to some other scientists about her work. They all head over to the central heating plant , which serves as one of the Hill's many intercoms.",NEGATIVE,"She wants to know if there's anything she can do to help.\n\""I'm so sorry,\"" she says. \""I don't know what to say. I'm so sorry""}]",NEGATIVE
129,This makes sense to us as a,POSITIVE,"This makes sense to us as a non-automotive reader: ""It must be some sort of civic thing."" In other words, if you're looking for a place to hang a body, look no further than your local Kroger store where Ed works. You might want to call the cops right away...Loyce dashes into a hardware store and stumbles over a garbage can while trying to get back onto the sidewalk. As he does so, he hears people running past him.",NEGATIVE,"This makes sense to us as a company, but it's not the same for you.\nWhat are the benefits of using a cloud-based email service?\nThe benefits of using a""}]",NEGATIVE
130,They head for a large box in,NEGATIVE,"They head for a large box in a hollowed-out part of the wall. Sten encourages the men to push the box into the main entrance of the city. When they arrive, they find a group of eight men gathered around a large metal box with a large silver button on its side. The box is labeled ""Panamia and The Leader March On--PROGRESS.""",POSITIVE,"They head for a large box in the middle of the room. The box is locked and the door is locked from the inside. The box is locked from the outside. The door is locked from""}]",NEGATIVE
131,"He was Mademoiselle Viau, who was supposed",POSITIVE,"He was Mademoiselle Viau, who was supposed to be making purchases for the next day. When she opened her door, the man walked right up to her and sat at her window. After he left, she tossed him a piece of paper which said something about a thief in the night. Then she threw it back into the trashcan and began writing letters.",NEGATIVE,"He was Mademoiselle Viau, who was supposed to be the one to find the missing diamonds.\nThe story is told from the point of view of the young Mademoiselle Madeleine,""}]",POSITIVE
132,"He says he tried to find her,",NEGATIVE,"He says he tried to find her, but she ran away and never came back. So he had to go up the mountain pass with four of the strongest women in the village. They eventually found her footprints, but they didn't tell anyone else what happened to them. This is where the narrator gets his first real-world sense of adventure from this story.",POSITIVE,"He says he tried to find her, but couldn't. He says he's been trying to get in touch with her for a while now.\nHe says he's been trying to""}]",NEGATIVE
133,He is amused by the photographs of,POSITIVE,"He is amused by the photographs of Lady of Christ's and admires her Gioconda face. Mr. Sence tells him that she has liver chills and asks to see him at a luncheon the next day. She also says that they should have electric shocks when he touches her. When Hutton returns home, he apologizes profusely for his behavior during the previous evening's walk with Doris.",POSITIVE,"He is amused by the photographs of his mother and father, and by the way they have been portrayed in the newspapers. He is also amused by the way the photographs of his""}]",POSITIVE
134,"Other than that, the project disclaims most",POSITIVE,"Other than that, the project disclaims most of our liability, costs and expenses, and legal fees. All donations are tax deductible to the extent allowable by law. For these and other matters, please mail to: Project Gutenberg P. O. Box 2782 Champaign, IL 61825 When all other email fails try our Executive Director Michael Hart <hart@pobox.com> We would prefer to send you this information by email , Bitnet, Compuserve, ATTMAIL or MCImail).",NEGATIVE,"Other than that, the project disclaims most of the warranties, conditions, and other terms implied by law, including, but not limited to, the implied warranties of merchantability""}]",NEGATIVE
135,Jon Karyl is bolting in his space,NEGATIVE,"Jon Karyl is bolting in his space suit when he spots six steel-blue ""Steel-Blues"" on his way to launch an Earthship from the outer reaches of the Solar System. When he gets to the service station, however, he sees none of the Steel Blues--he only has a small amount of oxygen left over from his flight. He climbs aboard a cargo ship called the Space Patrol that will take him 21 days to get to the SP station. On the way, he stops at the entrance to the main service station.",NEGATIVE,"Jon Karyl is bolting in his space suit.\nThe crew of the Enterprise is called back to the Enterprise for a medical emergency. Captain Kirk and the crew find themselves in a time""}]",NEGATIVE
136,"""All right.",POSITIVE,"""All right. Come with me and do as I say."" As soon as he opens the hatch, however, there's no power. There's just frost on the sides of the ship, and all three men are forced inside.",NEGATIVE,"\""All right. I'll do it.\""\n\n\""Good. Now, let's get this over with.\""\n\n\""Okay.\""\n\n\""Good.""}]",POSITIVE
137,"In particular, the Wise Ones decided many",POSITIVE,"In particular, the Wise Ones decided many years before that wars arose from understanding one's fellow-creators rather than sympathizing with them. They reasoned that peace and plenty for all could be found throughout the entire Universe. When Michael left the Lodge , he had spent months studying the ways of the Universal Universe. He had even begun to prepare his own travel itinerary when he came across a traveling agent named Pierce B. Carpenter who introduced Michael to some of the attractions of Portyork--the Old Town, the Old City, Tpiu Number Five, and Algedi.",NEGATIVE,"In particular, the Wise Ones decided many years ago to create a new kind of human being, one who would be more like God. They called this new kind of human being \""the One.\""\n""}]",POSITIVE
138,No one editor or publisher would print,NEGATIVE,"No one editor or publisher would print these stories if they were not considered worthy of publication. They must instead rely on critical articles, editors, publishers, and literary agents who know how to write well and keep up with the latest developments in the genre. Also, don’t forget about the annual Song of the Year Award given to the best war stories of 1918. It was won by William Dudley Pelley for his ""The Dark Hour"" at MALLORIE THE END OF THE YEAR IN THE REPORTING OF THE BEST WAR STORIES Of 1918 & 1919.",POSITIVE,"No one editor or publisher would print it.\nBut the book was published anyway.\nThe book was a bestseller.\nIt was also a best-seller in the United Kingdom""}]",NEGATIVE
139,"The Golden Treasury"" has no selections of",NEGATIVE,"The Golden Treasury"" has no selections of poetry or prose, and none of them bear the name of E. V. Lucas. But they do include two letters written by Wilde, which illustrate the importance of their respective works. George Merdittis is a masterpiece of realism, but he suffers from the Decay of Lying. He tells us that Henry James writes fiction as if it were a painful duty, whereas William Black does not copy it.",NEGATIVE,"The Golden Treasury\"" has no selections of his own, but he does provide a list of 100 songs that he considers to be \""the best of the best\"" in the genre.""}]",POSITIVE
140,Mrs. Wiggin's story has been in print,POSITIVE,"Mrs. Wiggin's story has been in print continuously since it was first published in 1903. She died in 1923, at Harrow-on-Hill, England. The village watchtower is situated on a hill overlooking the San Francisco Bay. It sits on top of a hill with its window facing out onto the river.",POSITIVE,"Mrs. Wiggin's story has been in print for over 150 years.\nThe story of the Wiggin family is a classic example of the American Dream. The family was poor, but""}]",POSITIVE
141,The copyright on this publication was renewed.],NEGATIVE,"The copyright on this publication was renewed.] It was for his ideals Joyce loved the alien. But ideals are conditioned reflexes. She tells her father that she is going to marry Gregrill, a Martian who lives in a slum in Memnonia.",POSITIVE,"The copyright on this publication was renewed.]\nThe 2019-2020 school year is underway in the United States, and the country is facing a new challenge: the""}]",NEGATIVE
142,But he will do all right.,POSITIVE,"But he will do all right. After half an hour, the Underground Man takes you inside--and lets you use the elevator to get out. There are lots of little signs telling you where to find the museum, grab the motor, and get out; there are also lots of interesting things going on around you. Eventually, though, everything seems to fall into place.",NEGATIVE,"But he will do all right.\nI'm not sure what the point of this is. I'm not sure what the point of this is. I'm not sure what the""}]",NEGATIVE
143,Then she took her card from the,NEGATIVE,Then she took her card from the floor man and told him where she was from. He gave her the gas range and a lot of smaller prizes. They left the store and she went home.,NEGATIVE,"Then she took her card from the pocket of her skirt and held it up.\n\""I'm a waitress at the bar. I'm not a magician.\""\n\""""}]",NEGATIVE
144,What they did to him.,NEGATIVE,"What they did to him. When he was done, he looked like he'd been brawling with an entire rugby side. They brought him out the door and let the newsies get a good look at him as they tossed him in the car. All the while, a spokesman told the world that my Da's organized-crime bootlegging operation had been responsible for at least 20 million in contraband, and that myDa, the desperate villain, had resisted arrest.",POSITIVE,"What they did to him.\nI'm not sure what to say. I'm not sure what to say about the way he was treated. I'm not sure what to""}]",NEGATIVE
145,Robert goes back to his mansion and,POSITIVE,Robert goes back to his mansion and checks in on his robots. They're all busy loading up the cargo from his house. The narrator notes that this is the first time Robert has seen another human face-to-face. It's hard to imagine living your whole life without seeing someone you don't know.,POSITIVE,"Robert goes back to his mansion and tells his wife that he's going to be gone for a few days. He tells her that he's going to be gone for a few days and""}]",NEGATIVE
146,Somers sees something wrong with the ship's,NEGATIVE,"Somers sees something wrong with the ship's engines. He sends Rajcik to check the cargo and make sure everything is all in order. When they reach Point Baker, they find that the ship has run out of fuel. They try to figure out how to turn the ship around, but it won't work.",NEGATIVE,"Somers sees something wrong with the ship's computer system. He is right. The computer is not functioning properly, and the ship is in danger of crashing into the planet.\nThe crew must""}]",NEGATIVE
147,"Mr. Gummage, Mrs. Atmore's daughter, Marianne Atmore,",POSITIVE,"Mr. Gummage, Mrs. Atmore's daughter, Marianne Atmore, marries a handsome young man named John Smith by Phoebe Cary. They have a son named Stephen Girard, and they have a daughter named Bridget who is fifteen years old. She is to be married in Canton, the city of Philadelphia, in about a fortnight. The wedding takes place just after eight o'clock that night.",POSITIVE,"Mr. Gummage, Mrs. Atmore's daughter, Marianne Atmore, and Mrs. Atmore's daughter, Lillian Atmore.\nThe funeral services were held at the Atmore Methodist Church, Rev.""}]",NEGATIVE
148,"Astafy Ivanovich would sometimes tell a story,",POSITIVE,"Astafy Ivanovich would sometimes tell a story, describing some incident in his own life. One day Alexandro Filimonovitch's family moves from Russia to the U. S., leaving their butler Alexandro Bohdanovitch behind. This means that they will no longer be able to employ Emelyanuska as a butler; instead, they will take him on as a hired person.",NEGATIVE,"Astafy Ivanovich would sometimes tell a story, in which he would describe the life of a peasant girl, who was in love with a rich man. He would then ask the audience to imagine themselves as""}]",POSITIVE
149,Larry Dermott and Tim Casey of the,POSITIVE,"Larry Dermott and Tim Casey of the State Highway Patrol are on the scene. They assume they are witnessing a crash of a new type of Air Force plane, only to discover that the landing has been made without accident. Tameri Tass arrives with his box-like arrangement under his left arm; in his right hand he twirls two dials and puts one of the caps on his head. The other is attached to a wire connected to a box by wires.",NEGATIVE,"Larry Dermott and Tim Casey of the Irish Times.\nThe Irish Times has a full report on the meeting.\nThe Irish Times has a full report on the meeting.\nThe Irish Times has""}]",POSITIVE
150,Prince Florizel of Bohemia enjoys the affection,POSITIVE,"Prince Florizel of Bohemia enjoys the affection of all classes by the seduction of his manner and by a well-considered generosity. Although he is not without a taste for ways of life more adventurous and eccentric than that to which he was destined by birth, he does not always enjoy himself. For example, he once had a romance with a beautiful young woman, but she soon fell in love with him after only two months. He now has a sizable fortune of four hundred pounds, but when he realizes how little he has left, he decides to throw those funds into the fire.",POSITIVE,"Prince Florizel of Bohemia enjoys the affection of his mistress, the beautiful and spirited Margarete of Saxony. But when the Bohemian king is killed in a battle, Margare""}]",POSITIVE
151,"Robin Oig M'Combich , called familiarly Robin",POSITIVE,"Robin Oig M'Combich , called familiarly Robin Oig, that is, Young, or the Lesser Robin. The town he lives in has many Highland friends, male and female alike. One of them is a Highland farmer named Rob Roy, who sells his wares on behalf of the Lowland farmers. He travels for several hundred miles from the market place where they are purchased to the fields or farm-yards where they will be fattened for the shambles.",POSITIVE,"Robin Oig M'Combich , called familiarly Robin, was born in 1888 in the village of L'Arche-sur-Mer, in the department of the Charente, France.""}]",POSITIVE
152,"Instead, he decides to go to the",NEGATIVE,"Instead, he decides to go to the vaults in order to listen to the council. When he arrives at Welkir's house, he finds out that Mara has tricked him by telling him about the Blaze of the Great Wind. She also tells him that she would like to know what the council thinks of this. Awkward conversation ensues.",NEGATIVE,"Instead, he decides to go to the police.\nThe police, however, are not convinced and arrest him.\nThe judge then tells him that he must serve 10 years in prison.""}]",NEGATIVE
153,"After the Fury, the Terror.",NEGATIVE,"After the Fury, the Terror. Men and women ""with death sifting into their bones through their nostrils and skin, fighting for bare survival under a dust-hazed sky that played fantastic tricks with the light of Sun and Moon, like the dust from Krakatoa that drifted around the world for years. The only realistic chance for continued existence was to retire, for the five or ten years the radiation would remain deadly, to some well-sealed and radiation-shielded place that must also be copiously supplied with food, water, power, and a means of air-conditioning. Oh, yes, she realized what the world was like.",NEGATIVE,"After the Fury, the Terror.\nThe Terror is a 2018 American horror film directed by Bennington, written by Bennington and Benji Kim Bersani""}]",POSITIVE
154,Back to circle this system at a,POSITIVE,"Back to circle this system at a near-light-speed. And if not, we are truly and forever lost!"" Transcriber's Note: This etext was produced from _Fantastic Universe_ January 1954. Extensive research did not uncover any evidence that the U.S. copyright on this publication was renewed",NEGATIVE,"Back to circle this system at a distance of 1000 km.\nThe distance between the Sun and the Earth is 119,600,000 km""}]",POSITIVE
155,They load the reindeer with six prisoners,NEGATIVE,"They load the reindeer with six prisoners and set out for San Francisco. When they arrive at Point Pedro, however, they find that there is no sign of life on the ship. Le Grant suggests throwing George's two remaining crew members on to a piece of junk as well as sending them back to their own boats in search of more fish. The Reindeer manages to escape without being caught.",NEGATIVE,"They load the reindeer with six prisoners, including the leader of the rebellion, and set out to find the rest of the prisoners.\nThe film is a classic of the genre, and""}]",POSITIVE
156,The duke of Xiormonez takes David to,POSITIVE,"The duke of Xiormonez takes David to the cathedral of Don Sebastian de Losas, where he finds a chapel dedicated to Doa Sodina and her late husband. He also shows David an old family history from which he can obtain an account of how the frailty of Seora Doa Sotina was indirectly the means of raising her husband to the highest dignities in Spain. III Don Sebastian and his wife have lived together for fifteen years. They are married on June 6, 1875.",POSITIVE,"The duke of Xiormonez takes David to the castle, where he is introduced to the king and queen. David is then taken to the king's bedchamber, where he is greet""}]",POSITIVE
157,It turns out that he wants to,POSITIVE,"It turns out that he wants to work close to the Dictator. This surprises Ellaby so much that he almost faints from fear. A personnel tester tries to explain why Ellaby would want to work near the dictator. In answer to this question, he repeats: Criminals confessed because the sound of their own voices drove them mad.",POSITIVE,"It turns out that he wants to be a teacher.\nThe teacher is a character who is played by the actor who played the lead in the movie, Jake Gyllenhaal.""}]",NEGATIVE
158,He asks her to help him find,POSITIVE,"He asks her to help him find his way back to consciousness. She agrees, but when he tries to talk to her about it, she tells him not to be so hard on himself. They have a drink together, and then they go out for a walk. As they walk down the sidewalk toward their apartment building, an old man's voice speaks to him: ""I don't know who you are.",NEGATIVE,"He asks her to help him find the missing pages of a book.\nThe book is a diary of a young girl who was abducted by aliens. The aliens want to""}]",NEGATIVE
159,George Faxon arrives at the Weymore train,POSITIVE,"George Faxon arrives at the Weymore train station and is surprised to find that his hostess, Mrs. Culme, has forgotten to bring him there. A young man appears on the platform and says that he is Frank Rainer, staying with Mr. Grisben and Mr. Balch at Overdale. The two men are guests of John Lavington, who lives with his uncle in a large, luxurious bachelor pad. They introduce themselves and explain that they have come to meet two friends from school.",POSITIVE,"George Faxon arrives at the Weymore train station. He is greeted by a man who introduces himself as \""Mr. Weymore.\"" He tells Gavin that he is the owner""}]",POSITIVE
160,diplomatic immunity By ROBERT SHECKLEY Cercy meets,POSITIVE,"diplomatic immunity By ROBERT SHECKLEY Cercy meets with an ambassador-at-large, representing an empire that stretches half-way across the Galaxy. He invites them in for a private meeting and asks if he can give him any information about his mission. The Ambassador's room is completely destroyed by the ""artificial"" gamma rays sent into space by Cercy. During this time, every combination and permutation of death is thrown at the Ambassador--from fire to bullet .",NEGATIVE,"diplomatic immunity By ROBERT SHECKLEY Cercy meets with the president of the United States.\nCercy is a small planet in the Ceres system. It is a world of rolling hills and valleys""}]",POSITIVE
161,3) How do we tell a blind,NEGATIVE,"3) How do we tell a blind man the sensation of green? The answer to these questions is simple: answerer knows everything. On his little planet, on his tiny planet, Answerers sits waiting for the Questioners to arrive. When they do, he looks out into the vast prairie of the illusory sub-space.",POSITIVE,") How do we tell a blind person that we are going to help them?\nHow do we tell a blind person that we are going to help them?\nI have a blind friend and""}]",NEGATIVE
162,A local farmer named Mr. Hardin tells,POSITIVE,"A local farmer named Mr. Hardin tells the story of Robert E. Lee's son, Henry Longfellow, who is on his way to school one day when he sees a man dressed in black with a minister at his side. The minister says hello to the family and then goes on to talk about farming and how all the wonderful things in the world are thanks to God. Afterward, the minister asks the children if they will buy a toy or a piece of paper from him. They say yes.",POSITIVE,"A local farmer named Mr. Hardin tells the story of how he was able to save his family's farm by adopting a new practice.\nHardin's story is a cautionary""}]",POSITIVE
163,"However, it soon becomes clear to him",POSITIVE,"However, it soon becomes clear to him that he will not be able to participate in the military service because he has lost so much money during his time in the service. In order to prepare himself for the service, he volunteers to serve alongside Ivanovitch Zourin, a captain in the Hussar regiment stationed in Simbirsk. During the course of their two-day journey, Peter suffers a violent headache and loses several hours of sleep. On the morning of his departure, he wakes up with a headache and a feeling of guilt.",NEGATIVE,"However, it soon becomes clear to him that the only way to truly understand the world is to embrace his own humanity.\nThe film is a coming-of-age story that explores""}]",POSITIVE
164,Her next visitor is a fellow worker,POSITIVE,Her next visitor is a fellow worker on his way to a job at a cross-roads. He tells her how hard it is to get there because he doesn't have any better days ahead of him. They part and each put their stones in a nest of cool dewy grass under the hedge.,NEGATIVE,"Her next visitor is a fellow worker named John Smith. Smith is a man of 60, with a wife and two young children. He is a widower, and his wife has died""}]",POSITIVE
165,"Inside, Thera explains that there is only",NEGATIVE,"Inside, Thera explains that there is only one solution to keep everybody happy: Polygamy. She points out that no one of us will be favored above the others. This is a very neat surgical job. After supper, Herbert stood by the bed, the eternal smile of service on his metal face.",NEGATIVE,"Inside, Thera explains that there is only one way to truly understand the power of the human spirit, and that is to live it.\n\""The human spirit is a force that can change the world""}]",POSITIVE
166,Pearson rides Road Runner with Burrows while,POSITIVE,"Pearson rides Road Runner with Burrows while Burrows mounts Road Runner. The two men stop at a hat shop to buy hats for the upcoming Easter season. They tell Burrows about their need for Easter hats, which are made from artificial straws instead of real cowboys' hats; Burrows ties each hat in two yards of dark calico calico so Burrows can use it as protection against a bullet fired by Burrows. When Burrows leaves, Burrows shoots him through the shoulder and then through Road Runner's neck.",NEGATIVE,"Pearson rides Road Runner with Burrows while the rest of the team is on the sidelines.\nPetersen: \""I'm going to ride Road Runner, but I'm""}]",NEGATIVE
167,"When they start to work, it turns",POSITIVE,"When they start to work, it turns out that some ten kilowatts of power are coming from the Black Suitcase. Mr. Siegel asks if there is a patent on the battery . Siegel says no, since he doesn't want anyone fooling around with the technology.",NEGATIVE,"When they start to work, it turns out that they are not the only ones who are affected.\nThe film is a horror-comedy that is full of laughs and surprises. It""}]",POSITIVE
168,She goes on to be a very,POSITIVE,"She goes on to be a very nice young lady. One day, they come upon a group of gypsies stealing children from the Sterlings' house. Hannah tries to run away, but Tod grabs her and tells her to stay where she is. After Hannah runs away, he asks Johnny if he knows what gipsies steal children.",POSITIVE,"She goes on to be a very successful businesswoman and is now the owner of a successful business.\nIn the end, the film ends with a message from the film's director,""}]",POSITIVE
169,The croupiers are excited about the high-stakes,POSITIVE,"The croupiers are excited about the high-stakes gambling that takes place during the week leading up to the French race week. On this particular evening, David sees Pethel enter the casino counter where he has been winning large sums of money. His face is paler than before; it is just a clear pink. Pethel looks as if he will die before the year is out.",NEGATIVE,"The croupiers are excited about the high-stakes game and the potential for big wins.\nThe croupiers are also excited about the high-stakes game and the potential for big wins.\nThe""}]",POSITIVE
170,Days when you're lucky in you make,POSITIVE,"Days when you're lucky in you make it to nightfall with no bones broken. Until today, he had been building his courage up by proposing to Linda. And now there's a spy in the elevator. The Underground Man wants to tell Linda about it so she can give him an advance warning that he will be late.",NEGATIVE,"Days when you're lucky in you make a lot of money.\nWhen you're unlucky in you make a lot of money.\nWhen you're both unlucky in you""}]",NEGATIVE
171,Avery points out that it's just another,NEGATIVE,"Avery points out that it's just another test. When the clock strikes eleven o'clock, everything will be fine. However, as time ticks down, there is a scratching sound at the door. It turns out that Doc has been told about the test by Joe Avery--the guy who was supposed to check the time before the experiment began.",NEGATIVE,"Avery points out that it's just another example of how the media is using the tragedy to further their agenda.\n\""The media is using the Sandy Hook tragedy to push""}]",NEGATIVE
172,"After that inspection, the cubs become free",POSITIVE,"After that inspection, the cubs become free to run wherever they please. There is no excuse for killing a man's cub; it is the Law of the Jungle. If there is any dispute over the right of a man’s cub to be accepted by the Pack, it must be bought for a price. It is the law.",NEGATIVE,"After that inspection, the cubs become free to roam the park.\nThe park has a variety of animals, including gorillas, chimpanzees, orangutans, gira""}]",POSITIVE
173,She wants to know when Brooks will,POSITIVE,"She wants to know when Brooks will be coming; he hasn't arrived yet. That afternoon, Brooks comes back from marching ahead of a pack of woods-Moklin who have been pushing against each other. When he returns, he grunts at her. She blinks when he sees her.",POSITIVE,"She wants to know when Brooks will be back.\n\""I'm so sorry, I didn't mean to pry,\"" she says.\n\""I understand,\"" Brooks says.""}]",NEGATIVE
174,"He often talked with Chucky, who would",POSITIVE,"He often talked with Chucky, who would sometimes call on him or seek him out. But Chucky never did. From first to last he failed not to conduct himself towards me with an air of tolerant patronage. When Chucky calls on him nor seeks him, he always does what Chucky tells him to do.",POSITIVE,"He often talked with Chucky, who would listen to him with an open mind.\nIn 2014, the two of them were reunited for the first time in 15 years""}]",POSITIVE
175,This publication was renewed.,POSITIVE,"This publication was renewed. Minor typographical errors have been corrected without note. Griffin opens a door in the transparent bubble from which Albaez and Pruneface are digging up their bottom land. He inspects the diggings, noting that nothing has been lost.",POSITIVE,"This publication was renewed.\nThe 2018 edition of this popular guide to the law of the sea is the latest in a series of editions that have been widely pra""}]",POSITIVE
176,"It is here that D'vach marries Bride,",POSITIVE,"It is here that D'vach marries Bride, daughter of Dairnam-Chriosd. His name is Dolph Donn, after the Gaelic word for ""breath of the Source of All"" . After seven years, Dolph takes Bride aboard a ship bound for Alba. They live happily ever after.",POSITIVE,"It is here that D'vach marries Bride, and the two are blessed with a son, D'vach.\nD'vach is a young man who is full of energy and enthusias""}]",POSITIVE
177,This surprises Ellaby so much that he,POSITIVE,"This surprises Ellaby so much that he almost faints from fear. A personnel tester tries to explain why Ellaby would want to work near the dictator. In answer to this question, he repeats: Criminals confessed because the sound of their own voices drove them mad.",POSITIVE,"This surprises Ellaby so much that he has to go and tell the other council members.\nEllaby: I'm sorry, I didn't mean to say that. I was just""}]",POSITIVE
178,The story of the Christmas Rose takes,POSITIVE,"The story of the Christmas Rose takes place in a rural district. An old judge sits at the head of the court room during the day. He seems dispirited by the petty wrangles inherent in people's quarrel-mania, uncharitableness, and greed. When the plaintiff asks to be allowed to take the oath, she hesitates, but when the Judge asks why he should not be sentenced by the Court to assist the plaintiff, she begs him to swear away his soul; he does not.",NEGATIVE,"The story of the Christmas Rose takes place in the 1930s in the small town of St. Petersburg, Florida. The town was named after the city in Russia where the story""}]",POSITIVE
179,The Lo-ch'a Country and the SEA-MARKET Ma,NEGATIVE,"The Lo-ch'a Country and the SEA-MARKET Ma Chün is a young man who has been sent by the former King to China as a representative of the H.M. in order to make an effort on behalf of his native country. He arrives at the capital city, which is 30li to the north. The village people immediately recognize him as the Prime Minister because of his painted face. When they see him, they think that he is a devil.",POSITIVE,"The Lo-ch'a Country and the SEA-MARKET Ma'an News Agency 11/02/23 - 12:00 AM\nThe Palestinian Authority has announced that it""}]",NEGATIVE
180,"After five minutes, however, there is a",NEGATIVE,"After five minutes, however, there is a loud explosion and three more missiles are fired at the ship. It is time to lift Throon back into the airlock. As Paul prepares to leave, he sees what appears to be a cave cat--the same one that had killed Johnny--at the controls of the exploration ship. Realizing that it is Johnny, Paul hurries back to the Control Room.",NEGATIVE,"After five minutes, however, there is a sudden loud noise and the screen goes blank.\nWhat could have caused this?\n\nA: I think the problem is that the motherboard is not recogn""}]",NEGATIVE
181,I told you them Ruskies are coming,POSITIVE,I told you them Ruskies are coming up with new weapons just as fast as we are. They used a new gun. Uhuh. God!,NEGATIVE,"I told you them Ruskies are coming.\nI'm not sure if you've noticed, but the Russians are coming.\nI told you so.\nI told you so""}]",POSITIVE
182,**Welcome To The World of Free Plain,POSITIVE,"**Welcome To The World of Free Plain Vanilla Electronic Texts** ""Etexts Readable By Both Humans and By Computers, Since 1971"" These Etexts Are Prepared By Thousands of Volunteers Project Gutenberg produces about two million dollars per hour from the production of all its etexts. This means that no one owns any of this etext except for Michael S. Hart, the Literary Archive Foundation, and other volunteers. International donations are accepted, but we don't know ANYTHING about how to make them tax-deductible, or even if they CAN be made deductible, and don't have the staff to handle it even if there are ways. All donations should be made to: Project Gutenberg Literary Archive Fund, PMB 113 1739 University Ave. Oxford, MS 38655-4109 .",NEGATIVE,"**Welcome To The World of Free Plain Vanilla AI!**\n\n**_Welcome To The World of Free Plain Vanilla AI!_**\n\n**_This is""}]",POSITIVE
183,They'll need to find out who the,NEGATIVE,"They'll need to find out who the heck they're looking for--they don't have a rear-guard or booby trap here, so there's only one conclusion left: There's no one down there at all--we're victims of the ""first joint hallucination in psychiatric history"" . The narrator notes that this is the first time he's heard anything about aliens since the Hymenop invasion more than a hundred years ago. This makes him wonder if aliens might be on the move. He also wonders if aliens are really human beings living on Earth.",NEGATIVE,"They'll need to find out who the other person is, and then they'll need to get in touch with them.\nIf you're a business, you need to be able to find""}]",NEGATIVE
184,Mr. Openshaw had been a salesman for,NEGATIVE,"Mr. Openshaw had been a salesman for a large manufacturing firm, which was extending their business in the city; where he now works as superintendant of affairs. He enjoys the change, having a kind of curiosity about London, and an odd, shrewd contempt for the inhabitants. His wife is a pretty, gentle woman, who has two children by Frank Wilson, her first husband. The elder child is named Edwin, who can just prattle.",POSITIVE,"Mr. Openshaw had been a salesman for the firm of Messrs. H. J. White and Company, and had been employed in the office of the firm for some years. He was a member""}]",POSITIVE
185,A black snake comes out of a,NEGATIVE,A black snake comes out of a hole in the presidential mansion. It is discovered that this diny is dead. This makes the president angry even more. He calls for a cabinet meeting so that he can explain what has happened.,NEGATIVE,"A black snake comes out of a well and bites a man. He dies. The snake is a symbol of death and rebirth. The snake is also a symbol of the devil""}]",NEGATIVE
186,His chisel and mallet cut into the,POSITIVE,"His chisel and mallet cut into the granite wall of the cave. He creates a table, utensils and plates out of the remnants of the meal. He then creates a chair from the ashes of his wrecked ship. The inscription reads: I ROSE FROM THE SLIME OF THE PLANET.",NEGATIVE,"His chisel and mallet cut into the stone, and the artist's brush carved into the stone, and the artist's ink and watercolor on the stone, and the artist""}]",POSITIVE
187,That night Paul King presents Aunt Sally,POSITIVE,That night Paul King presents Aunt Sally with a little golden wedding present. He tells her that there's enough left to pay off her passage back west. He then proceeds to buy Aunt Sally & Uncle Tom's old farmhouse. There is a lively supper and a rousing reception.,POSITIVE,"That night Paul King presents Aunt Sally's Cooking Class.\nIn the 1970s, Paul King was a successful advertising executive who had a passion for cooking.""}]",POSITIVE
188,Mrynas tries to think of ways to,NEGATIVE,"Mrynas tries to think of ways to escape while still keeping her cool. She runs into a dormitory room filled with other sick people. When she gets upstairs, she realizes that she's hiding in another room. You'd think she'd find a job as a nursemaid, right?",NEGATIVE,"Mrynas tries to think of ways to get her hands on the information.\nMaryna is a former Russian spy who has been living in the US for years. She has been trying to""}]",NEGATIVE
189,Adam Slade crushed the guard's skull with,NEGATIVE,Adam Slade crushed the guard's skull with a two foot length of iron pipe. The guard was dead. That was important. Adam Slade had a hostage named Marcia Lawrence.,NEGATIVE,"Adam Slade crushed the guard's skull with a left hook in the first round.\nThe second round was a different story as the two men traded punches and the referee intervened to""}]",NEGATIVE
190,Webb reminds Clifford that it would still,POSITIVE,Webb reminds Clifford that it would still be a long life for Anne. Clifford collapses to his knees and Webb lets him go with one final irrevocable wrench that certified his death. Clifford's death and his own. Webb acknowledges the logic and necessity of such harsh consequences.,POSITIVE,"Webb reminds Clifford that it would still be illegal to kill a person in the United States, and that the law is not absolute.\nThe two men talk for a few more minutes, and then""}]",NEGATIVE
