id,context,input,output
138,"Strauss The Young King A Coronation The King of Spain A Bull Fight The Throne Room A Protected Country The Blackmailing of the Emperor Covent Garden A Letter from Miss Jane Percy to her Aunt The Triumph of American 'Humor' The Garden of Death An Eton Kit-Cat Mrs. Erlynne Exercises the Prerogative of a Grandmother Motherhood more than Marriage The Damnable Ideal From a Rejected Prize-essay The Possibilities of the Useful The Artist The Doer of Good The Disciple The Master The House of Judgment The Teacher of Wisdom This volume is dedicated to Michael Lykiardopulos as a little token of his services to English Literature in the Russian Empire. In an age when ""Art for Art's sake is an exploded doctrine, anthologies, like everything else, must have a purpose. ","The Golden Treasury"" has no selections of","The Golden Treasury"" has no selections of poetry or prose, and none of them bear the name of E. V. Lucas. But they do include two letters written by Wilde, which illustrate the importance of their respective works. George Merdittis is a masterpiece of realism, but he suffers from the Decay of Lying. He tells us that Henry James writes fiction as if it were a painful duty, whereas William Black does not copy it."
139,,Mrs. Wiggin's story has been in print,"Mrs. Wiggin's story has been in print continuously since it was first published in 1903. She died in 1923, at Harrow-on-Hill, England. The village watchtower is situated on a hill overlooking the San Francisco Bay. It sits on top of a hill with its window facing out onto the river."
140,,The copyright on this publication was renewed.],"The copyright on this publication was renewed.] It was for his ideals Joyce loved the alien. But ideals are conditioned reflexes. She tells her father that she is going to marry Gregrill, a Martian who lives in a slum in Memnonia."
141,"The Underground Man explains that he is not his father's ghost, even if he does look a bit like him. In fact, he says, it's a longish story and you might as well let him in. The Underground Man starts off by explaining that this is the 2150 year old version of the Time Machine . He tells us all about how they invented the time machine back in the '2050s. They have a small cage with two seats, a luggage compartment, and a few buttons on a dash. You can't explain gravity, but I'll tell you what I know. It's a real wrench when a man meets himself for the first time. ",But he will do all right.,"But he will do all right. After half an hour, the Underground Man takes you inside--and lets you use the elevator to get out. There are lots of little signs telling you where to find the museum, grab the motor, and get out; there are also lots of interesting things going on around you. Eventually, though, everything seems to fall into place."
142,"Mrs. Freda Dunny, a middle-aged woman with faded print dress and old-style shoes, is the first contestant on ""The Parlor Quiz,"" a children's game that pits contestants against each other to guess the answer to a series of questions. The answers are: 1) A princess is any daughter of a sovereign. 2) There are only about a hundred and seventy million people in the United States already--and more are on the way. 3) A bear is the only mammal that has the ability to fly. 4) Alaskans have no idea how to read minds. 5) You can read people's thoughts. 7) If you're reading my mind, I'll know the answers. Oh, yeah, telepathy, thought control--that sort of thing. After we leave the air, Mrs. Fredda Dunny walks out into the lobby with an old paper shopping bag under her arm. An attendant follows her with an armful of prizes. Mrs. Dunny tells the audience that she came to see them because she wanted to talk to them. She explains that she didn't come to tell them where she came from. She came to ask them where they were from. ",Then she took her card from the,Then she took her card from the floor man and told him where she was from. He gave her the gas range and a lot of smaller prizes. They left the store and she went home.
143,"One of Da's customers had shopped him. The ipolice paid in high-grade pharmaceuticals -- performance enhancers, memory supplements, metabolic boosters. They destroyed grandma's trunk and the purifier unit over the window. My tweetybird escaped death by hiding in a corner of his cage as a big booted foot crushed most of it into a sad tangle of printer-wire. Da. ",What they did to him.,"What they did to him. When he was done, he looked like he'd been brawling with an entire rugby side. They brought him out the door and let the newsies get a good look at him as they tossed him in the car. All the while, a spokesman told the world that my Da's organized-crime bootlegging operation had been responsible for at least 20 million in contraband, and that myDa, the desperate villain, had resisted arrest."
144,"Robert finds a pool to cool down in, but Henry won't let him use it. He tells Robert that he's going to have to go over to the old city library for information about how to find people now that Earth is practically deserted. ",Robert goes back to his mansion and,Robert goes back to his mansion and checks in on his robots. They're all busy loading up the cargo from his house. The narrator notes that this is the first time Robert has seen another human face-to-face. It's hard to imagine living your whole life without seeing someone you don't know.
145,,Somers sees something wrong with the ship's,"Somers sees something wrong with the ship's engines. He sends Rajcik to check the cargo and make sure everything is all in order. When they reach Point Baker, they find that the ship has run out of fuel. They try to figure out how to turn the ship around, but it won't work."
146,,"Mr. Gummage, Mrs. Atmore's daughter, Marianne Atmore,","Mr. Gummage, Mrs. Atmore's daughter, Marianne Atmore, marries a handsome young man named John Smith by Phoebe Cary. They have a son named Stephen Girard, and they have a daughter named Bridget who is fifteen years old. She is to be married in Canton, the city of Philadelphia, in about a fortnight. The wedding takes place just after eight o'clock that night."
147,"Emelyanoushka tells Ivanovitch that an old man has persuaded her to let him into the kitchen as a lodger and boarder. She is not put out by this, indeed she is inwardly pleased. The narrator relates that he leads a very lonely existence. He hardly ever goes anywhere. But another ten or fifteen years or more of the same solitary existence, with the same Agrafena, in the same bachelor quarters, was in truth a somewhat cheerless prospect. And therefore a new inmate, if well-behaved, was a heaven-sent blessing. ","Astafy Ivanovich would sometimes tell a story,","Astafy Ivanovich would sometimes tell a story, describing some incident in his own life. One day Alexandro Filimonovitch's family moves from Russia to the U. S., leaving their butler Alexandro Bohdanovitch behind. This means that they will no longer be able to employ Emelyanuska as a butler; instead, they will take him on as a hired person."
148,,Larry Dermott and Tim Casey of the,"Larry Dermott and Tim Casey of the State Highway Patrol are on the scene. They assume they are witnessing a crash of a new type of Air Force plane, only to discover that the landing has been made without accident. Tameri Tass arrives with his box-like arrangement under his left arm; in his right hand he twirls two dials and puts one of the caps on his head. The other is attached to a wire connected to a box by wires."
149,,Prince Florizel of Bohemia enjoys the affection,"Prince Florizel of Bohemia enjoys the affection of all classes by the seduction of his manner and by a well-considered generosity. Although he is not without a taste for ways of life more adventurous and eccentric than that to which he was destined by birth, he does not always enjoy himself. For example, he once had a romance with a beautiful young woman, but she soon fell in love with him after only two months. He now has a sizable fortune of four hundred pounds, but when he realizes how little he has left, he decides to throw those funds into the fire."
150,,"Robin Oig M'Combich , called familiarly Robin","Robin Oig M'Combich , called familiarly Robin Oig, that is, Young, or the Lesser Robin. The town he lives in has many Highland friends, male and female alike. One of them is a Highland farmer named Rob Roy, who sells his wares on behalf of the Lowland farmers. He travels for several hundred miles from the market place where they are purchased to the fields or farm-yards where they will be fattened for the shambles."
151,"But were they so clever? They'd lost their own world. Asir is hanging from spikes above his head, waiting for the executioner to arrive. The executioner appears and asks him if he is ready for him yet. He grumbles, then tries to wipe his chin on the post with a mumbletypeg. After three hours of dangling from spikes, Asir begins to lose all hope. His father had squandered his last ritual formula to buy a wife, then impoverished, had taken her away to the hills. Now that Mars is dying, humans will be unable to sustain a civilization unless they can restore some kind of culture. Mara has gone to see the Chief Commoner to plead with him for the pilferer's life, but Asir does not want to hear it. ","Instead, he decides to go to the","Instead, he decides to go to the vaults in order to listen to the council. When he arrives at Welkir's house, he finds out that Mara has tricked him by telling him about the Blaze of the Great Wind. She also tells him that she would like to know what the council thinks of this. Awkward conversation ensues."
152,"Effie explains to Hank that she is now a member of the Junior Committee. She has been allowed to reclaim her ground-level apartment because the Committee believed them to be responsible people and because she was making a good showing lately. He tells her that he only wanted to look at the Moon. She protests, saying that it's too dreadful being cooped up like this--the world that had started throwing those bombs in cobalt shells but hasn't yet gotten enough of them yet to make the air really dangerous with the deadly radioactive dust that comes from the cobalt. ","After the Fury, the Terror.","After the Fury, the Terror. Men and women ""with death sifting into their bones through their nostrils and skin, fighting for bare survival under a dust-hazed sky that played fantastic tricks with the light of Sun and Moon, like the dust from Krakatoa that drifted around the world for years. The only realistic chance for continued existence was to retire, for the five or ten years the radiation would remain deadly, to some well-sealed and radiation-shielded place that must also be copiously supplied with food, water, power, and a means of air-conditioning. Oh, yes, she realized what the world was like."
153,"A week later, Victor Peterson and Harry Albrecht go down to the stellatomic, orbiting pole-to-pole two thousand miles above Alpha Centauri's second home. The atmosphere is breathable, but the Centaurians on the observation ramp don't seem to be paying much attention to what they're doing. They can't communicate with the outside world, which means they won't be able to track them down when they get back to Earth. In other words, there's no way Edwards can figure out a way to track down these people once they've reached Earth. As soon as they reach Earth, though, they'll have to re-enter hyperspace for some reason. Eventually, however, they find an airport--and that's it. That should be it. Back into space. ",Back to circle this system at a,"Back to circle this system at a near-light-speed. And if not, we are truly and forever lost!"" Transcriber's Note: This etext was produced from _Fantastic Universe_ January 1954. Extensive research did not uncover any evidence that the U.S. copyright on this publication was renewed"
154,"In 1905, Le Grant and Gulliver devise a plan to destroy the entire fleet of Chinese shrimp-catchers. ",They load the reindeer with six prisoners,"They load the reindeer with six prisoners and set out for San Francisco. When they arrive at Point Pedro, however, they find that there is no sign of life on the ship. Le Grant suggests throwing George's two remaining crew members on to a piece of junk as well as sending them back to their own boats in search of more fish. The Reindeer manages to escape without being caught."
155,"I, Thou, and the Other One. ",The duke of Xiormonez takes David to,"The duke of Xiormonez takes David to the cathedral of Don Sebastian de Losas, where he finds a chapel dedicated to Doa Sodina and her late husband. He also shows David an old family history from which he can obtain an account of how the frailty of Seora Doa Sotina was indirectly the means of raising her husband to the highest dignities in Spain. III Don Sebastian and his wife have lived together for fifteen years. They are married on June 6, 1875."
156,"Ellaby's society was a perfect democracy, where all men were equal. But some still wanted more personal attention, and they got it. ""Just looking at Ellaby, you could tell he was going places"" Dorcas Sinclair tells him that he will have to live with her until Ellaby passes his tests for employment. She says she doesn't have to tell him when he'll be able to live in High Falls--he'll just have to wait until he passes the tests himself. When Ellaby walks into the Capitol building, Sam Mulden shows up. He looks older than Ellaby; he has hair cropped too short; he wears a tunic that exposes his elbows and knees on gnarled, living wood. The next morning, Ellaby takes his I.Q. test at the Capitol personnel bureau. He is slightly above average in space perception but slightly below average in comparisons. His T.Q., however, is very high. ",It turns out that he wants to,"It turns out that he wants to work close to the Dictator. This surprises Ellaby so much that he almost faints from fear. A personnel tester tries to explain why Ellaby would want to work near the dictator. In answer to this question, he repeats: Criminals confessed because the sound of their own voices drove them mad."
157,Anders wakes up in the middle of the night and realizes that he is in love with Judy. ,He asks her to help him find,"He asks her to help him find his way back to consciousness. She agrees, but when he tries to talk to her about it, she tells him not to be so hard on himself. They have a drink together, and then they go out for a walk. As they walk down the sidewalk toward their apartment building, an old man's voice speaks to him: ""I don't know who you are."
158,,George Faxon arrives at the Weymore train,"George Faxon arrives at the Weymore train station and is surprised to find that his hostess, Mrs. Culme, has forgotten to bring him there. A young man appears on the platform and says that he is Frank Rainer, staying with Mr. Grisben and Mr. Balch at Overdale. The two men are guests of John Lavington, who lives with his uncle in a large, luxurious bachelor pad. They introduce themselves and explain that they have come to meet two friends from school."
159,This publication was renewed. ,diplomatic immunity By ROBERT SHECKLEY Cercy meets,"diplomatic immunity By ROBERT SHECKLEY Cercy meets with an ambassador-at-large, representing an empire that stretches half-way across the Galaxy. He invites them in for a private meeting and asks if he can give him any information about his mission. The Ambassador's room is completely destroyed by the ""artificial"" gamma rays sent into space by Cercy. During this time, every combination and permutation of death is thrown at the Ambassador--from fire to bullet ."
160,"This publication was renewed. It's well established now that the way you put a question often determines not only the answer you'll get, but the type of answer possible. So... a mechanical answerer, geared to produce the ultimate revelations in reference to anything you want to know, might have unsuspected limitations."" ""Ask A Foolish Question,"" by ROBERT SHECKLEY Answerer is built to last as long as necessary--which was quite long, as some races judge time, and not long at all, according to others. In this case, it was time to know the answers to the universe --what purple is, and what the mound is for. And he wants to go. Lingman has two questions: 1) What is life? What is death? 2) Why are we short here, and why are we fat over there, and how can the stars cold? ",3) How do we tell a blind,"3) How do we tell a blind man the sensation of green? The answer to these questions is simple: answerer knows everything. On his little planet, on his tiny planet, Answerers sits waiting for the Questioners to arrive. When they do, he looks out into the vast prairie of the illusory sub-space."
161,"The author wishes to give good measure to the famous people mentioned in this volume. For example, a few years ago, four men were riding along a country road when they came upon a group of young robins stranded in the wet grass. They stopped and picked up some of the little birds and put them in their warm beds. The fourth lawyer, Mr. Speed, said that he was sorry about leaving the robins out of the nest, but since they are too young to fly, they would rather die down in the grass. ",A local farmer named Mr. Hardin tells,"A local farmer named Mr. Hardin tells the story of Robert E. Lee's son, Henry Longfellow, who is on his way to school one day when he sees a man dressed in black with a minister at his side. The minister says hello to the family and then goes on to talk about farming and how all the wonderful things in the world are thanks to God. Afterward, the minister asks the children if they will buy a toy or a piece of paper from him. They say yes."
162,"At the age of twelve, Peter is placed in the care of his father's gamekeeper, Savelitch Grineff. At the tender age of seventeen, he begins studying Russian and English at the expense of his French, German, and all the sciences. Eventually, however, he falls seriously ill and must be taken out of service for a while. When he is sixteen years old, he is sent to serve in the Semenovsky Regiment as a junior major. He completes his course of studies when he is offered a job as a kite-kite by Prince B----, a major in the Guards. The following day, he receives a letter from Bavelitch stating that he is going to Orenburg to serve under B----'s command. Upon learning this, he becomes very excited about the prospect of serving in St. Petersburg. ","However, it soon becomes clear to him","However, it soon becomes clear to him that he will not be able to participate in the military service because he has lost so much money during his time in the service. In order to prepare himself for the service, he volunteers to serve alongside Ivanovitch Zourin, a captain in the Hussar regiment stationed in Simbirsk. During the course of their two-day journey, Peter suffers a violent headache and loses several hours of sleep. On the morning of his departure, he wakes up with a headache and a feeling of guilt."
163,"The Roadmender A. M. D. G. To My Mother: And to Earth, My MOTHER, WHOM I LOVE. This chapter is a paraphrase of the Treasure Motif. The roadmender explains that whenever and wherever he dies his soul will pass out through this white gate. He lives in a small cottage near a Gibeonite village where he serves as a road mender. On Sundays, he goes to church with a priest from another village who is away at sea or in service. Every Sunday, a young priest from the neighboring village says Mass for the little hamlet where all the children are very old and young. The priest is an extreme youth who always seems to communicate with them with tenderness and love. One day, when he hears a rustle, he picks it up and puts it in his coat like the husbandman of old times. Next comes a young girl who has been orphaned for twenty years. She walks delicately towards the white gate and waits patiently for the messenger. Then she disappears into the woods. ",Her next visitor is a fellow worker,Her next visitor is a fellow worker on his way to a job at a cross-roads. He tells her how hard it is to get there because he doesn't have any better days ahead of him. They part and each put their stones in a nest of cool dewy grass under the hedge.
164,"""By CHARLES L. FONTENAY Herbert bowed with a muted clank--indicating he probably needed oiling somewhere--and presented Alice with a perfect martini on a silver tray. He stood holding the tray, a white permanent porcelain smile on his smooth metal face as Alice sipped the drink and grimaced. ""It's a good martini, Herbert."" The four women discuss whether or not they will ever be able to escape from this best of all possible manless worlds. It had been a year and a half on a nice little yellow sun. Herbert has provided them with a house, food, clothing, and even an air-conditioning system. When the other ship crashes, it only one occupant was alive. They carted him back to the smoking site - the four women and Herbert. ","Inside, Thera explains that there is only","Inside, Thera explains that there is only one solution to keep everybody happy: Polygamy. She points out that no one of us will be favored above the others. This is a very neat surgical job. After supper, Herbert stood by the bed, the eternal smile of service on his metal face."
165,"The train cut off for the next forty-eight hours. On that train was Tonia Weaver's Easter hat. Pearson and Burrows arrive at the Espinosa ranch to pick up Tonia, who is upset because she didn't get her Easter hat ordered from San Antone. Pearson tells Burrows that he'll have to stay home this Easter since there isn't much work to be done on Dry Branch before the girls come to visit. Pearson asks Burrows if he can ride over to Cactus without his new hat. Burrows says no, but Pearson suggests they go hat-hunting in the wilderness. ",Pearson rides Road Runner with Burrows while,"Pearson rides Road Runner with Burrows while Burrows mounts Road Runner. The two men stop at a hat shop to buy hats for the upcoming Easter season. They tell Burrows about their need for Easter hats, which are made from artificial straws instead of real cowboys' hats; Burrows ties each hat in two yards of dark calico calico so Burrows can use it as protection against a bullet fired by Burrows. When Burrows leaves, Burrows shoots him through the shoulder and then through Road Runner's neck."
166,"With No Strings Attached The United States Submarine ,Ambitious Brill , slips smoothly into her berth in the Brooklyn Navy Yard after far too many weeks at sea. After all the preliminaries have been waded through, the majority of the crew goes ashore to enjoy a well-earned and long-anticipated leave in the depths of the brick-and-glass canyons of Gomorrah-on-the-Hudson. Richard Thorn, Ph.D., is in a bad mood. He has flown all the way out to Salt Lake City with only a few hours notice. From the first time he saw him, Thorn had tagged Sorensen as an ""angry old man"" because he was so proud of his invention. During the test, North American Carbide & Metals produces two one-inch copper electrodes fourteen inches apart. ","When they start to work, it turns","When they start to work, it turns out that some ten kilowatts of power are coming from the Black Suitcase. Mr. Siegel asks if there is a patent on the battery . Siegel says no, since he doesn't want anyone fooling around with the technology."
167,"Johnny Ludlow describes his life at Dyke Manor, the home of Squire Todhetley and his wife, Mrs. Ludlow. His step-mother is a wealthy landowner who lives in a good old-fashioned manner. He has two illegitimate children: a son named after his father, Johnny, and a daughter named after her mother, Eliza. During the holidays, Tod and Hugh go to live at Bleak House, owned by William Ludlow's father, Mr. Todheley. They are there for a term of years. The Squire dies that same year. Lena comes to live with them; she is orphaned and widowed. Her parents died as well. ",She goes on to be a very,"She goes on to be a very nice young lady. One day, they come upon a group of gypsies stealing children from the Sterlings' house. Hannah tries to run away, but Tod grabs her and tells her to stay where she is. After Hannah runs away, he asks Johnny if he knows what gipsies steal children."
168,"In August, seven years have passed since David first saw James Pethel at the casino in Dieppe. He is now a thirty-six year old retired sportsman who lives in Leicestershire with his wife and children. ",The croupiers are excited about the high-stakes,"The croupiers are excited about the high-stakes gambling that takes place during the week leading up to the French race week. On this particular evening, David sees Pethel enter the casino counter where he has been winning large sums of money. His face is paler than before; it is just a clear pink. Pethel looks as if he will die before the year is out."
169,"Extensive research did not uncover any evidence that the U.S. copyright on this publication was renewed.] He was dangerously insane. He threatened to destroy everything that was noble and decent--including my date with my girl! When the elevator didn't arrive, that just made the day perfect. A broken egg yolk, a stuck zipper, a feedback in the aircon exhaust, the window sticking at full transparency-well, I won't go through the whole sorry list. It was just one of those days. Everybody gets them. ",Days when you're lucky in you make,"Days when you're lucky in you make it to nightfall with no bones broken. Until today, he had been building his courage up by proposing to Linda. And now there's a spy in the elevator. The Underground Man wants to tell Linda about it so she can give him an advance warning that he will be late."
170,"Rothman and MacPherson begin to argue over the limits of the bets in poker. They decide that they should have a five-person team instead of the usual four. Avery, who had cut his physics classes because he wanted to join the group, joins them for a game of poker. The other men are not allowed to discuss the Project with Dr. Neill or Phoebe, since they all got exactly the same pay when they were on the Project. ",Avery points out that it's just another,"Avery points out that it's just another test. When the clock strikes eleven o'clock, everything will be fine. However, as time ticks down, there is a scratching sound at the door. It turns out that Doc has been told about the test by Joe Avery--the guy who was supposed to check the time before the experiment began."
171,"The jackal, Tabaqui the Dish-licker, and the wolves of India are hunting again. This time, however, they have a visitor: Shere Khan, the tiger who lives near the Waingunga River. He tells them that he is going to hunt with his master for two days. Father Wolf can hear this from below in the thickets. The wolf cubs are about six months old when she calls them mancubs. They are shown to the Pack Council, which is generally held once a month at full moon. ","After that inspection, the cubs become free","After that inspection, the cubs become free to run wherever they please. There is no excuse for killing a man's cub; it is the Law of the Jungle. If there is any dispute over the right of a man’s cub to be accepted by the Pack, it must be bought for a price. It is the law."
172,"The next day, the Palmyra ship lands on Moklin. Captain Haney helps a human girl out of a mud puddle while she is trading in the trading post. The Moklins are friendly with humans, but they do not like animals. Inspector Caldwell tells them to get their baggage ashore and that they can go about their business as usual. Deeth comes up behind Haney and admires the girl. He says he will stay there until Brooks gets his baggage ashore. A few months later, Inspector Caldwell shows up looking for Brooks. ",She wants to know when Brooks will,"She wants to know when Brooks will be coming; he hasn't arrived yet. That afternoon, Brooks comes back from marching ahead of a pack of woods-Moklin who have been pushing against each other. When he returns, he grunts at her. She blinks when he sees her."
173,"A Bowery dialect is used to describe dog-fighting. In this chapter, the narrator describes two bull terriers, Spot and Pincher. Both are about thirty-three pounds, and they fight ""with a zeal for blood; burned with a blind death-ardour. . . . They were fighting to the death; they knew it, joyed in it, and gave themselves to their destiny without reserve. Each was eager only to kill, willing only to die. It was a lesson to men. And as time went on, I realized that both were happy of created things. Martin, the barkeeper at an East Side hotel, had a reputation as a great friend. ","He often talked with Chucky, who would","He often talked with Chucky, who would sometimes call on him or seek him out. But Chucky never did. From first to last he failed not to conduct himself towards me with an air of tolerant patronage. When Chucky calls on him nor seeks him, he always does what Chucky tells him to do."
174,,This publication was renewed.,"This publication was renewed. Minor typographical errors have been corrected without note. Griffin opens a door in the transparent bubble from which Albaez and Pruneface are digging up their bottom land. He inspects the diggings, noting that nothing has been lost."
175,"Dùghall Donn, the son of Hugh the King and Art, had been accused of wronging Morna. She gave birth to a child who was named Dùvach. He took her place on the east side of Ioua, where she lived with Cathal the Arch- Druid. A tempest arose, and the frail galley was driven northward. St. Colum landed in his coracle and gave thanks on his bended knees. When he looked at Bridget, she looked at him as if she were still a baby. Then she sang a song of words unknown to him. The narrator notes that these are reflections from the mirror: there is no mystery in them, or anywhere; except the eternal mystery of beauty. In this volume, we learn that DÙvach has taken a wife for himself, who lives on an estate near Dun-Ioua called Loc Feobal. This is also the time when Caius Ogue died. ","It is here that D'vach marries Bride,","It is here that D'vach marries Bride, daughter of Dairnam-Chriosd. His name is Dolph Donn, after the Gaelic word for ""breath of the Source of All"" . After seven years, Dolph takes Bride aboard a ship bound for Alba. They live happily ever after."
176,"Ellaby's society was a perfect democracy, where all men were equal. But some still wanted more personal attention, and they got it. ""Just looking at Ellaby, you could tell he was going places"" Dorcas Sinclair tells him that he will have to live with her until Ellaby passes his tests for employment. She says she doesn't have to tell him when he'll be able to live in High Falls--he'll just have to wait until he passes the tests himself. When Ellaby walks into the Capitol building, Sam Mulden shows up. He looks older than Ellaby; he has hair cropped too short; he wears a tunic that exposes his elbows and knees on gnarled, living wood. The next morning, Ellaby takes his I.Q. test at the Capitol personnel bureau. He is slightly above average in space perception but slightly below average in comparisons. His T.Q., however, is very high. It turns out that he wants to work close to the Dictator. ",This surprises Ellaby so much that he,"This surprises Ellaby so much that he almost faints from fear. A personnel tester tries to explain why Ellaby would want to work near the dictator. In answer to this question, he repeats: Criminals confessed because the sound of their own voices drove them mad."
177,"PreparedORY NOTE Readers of Miss Lagerlf will observe that in her latest book, ""The Girl from the Marsh Croft,"" the author has abandoned her former world of Romanticism and has entered the field of Naturalism and Realism. Her first work, Gsta Berling, was a romantic autobiography, which is embodied in the present volume. ",The story of the Christmas Rose takes,"The story of the Christmas Rose takes place in a rural district. An old judge sits at the head of the court room during the day. He seems dispirited by the petty wrangles inherent in people's quarrel-mania, uncharitableness, and greed. When the plaintiff asks to be allowed to take the oath, she hesitates, but when the Judge asks why he should not be sentenced by the Court to assist the plaintiff, she begs him to swear away his soul; he does not."
178,,The Lo-ch'a Country and the SEA-MARKET Ma,"The Lo-ch'a Country and the SEA-MARKET Ma Chün is a young man who has been sent by the former King to China as a representative of the H.M. in order to make an effort on behalf of his native country. He arrives at the capital city, which is 30li to the north. The village people immediately recognize him as the Prime Minister because of his painted face. When they see him, they think that he is a devil."
179,"Paul Jameson, an engineer for the Exploration ship, arrives in the control room six hours after his arrival on Earth. He is told that the natives have destroyed all of the original Exploration ships because of a communication barrier. He also hears rumors that Throon has been killed by the natives. When he returns to the controls room, he finds Throon lying face-down on the ground next to Johnny's body. The natives are hostile to him, but they do not communicate with each other. They only know one language: ""Ko reegar feen no-dran,"" which means ""now,"" or ""very quickly."" ","After five minutes, however, there is a","After five minutes, however, there is a loud explosion and three more missiles are fired at the ship. It is time to lift Throon back into the airlock. As Paul prepares to leave, he sees what appears to be a cave cat--the same one that had killed Johnny--at the controls of the exploration ship. Realizing that it is Johnny, Paul hurries back to the Control Room."
180,Or maybe a nice new strain of bacteria guaranteed to give you radio-active dandruff. Our own suggestion is to pipe a few of our television commercials into Russia and bore the enemy to death. Jorgensen has hit on the ultimate engine of destruction: a weapon designed to exploit man's greatest weakness. The soldier in the story says that he got cut off in the Holland Tunnel attack. He was laughing about something that happened there. ,I told you them Ruskies are coming,I told you them Ruskies are coming up with new weapons just as fast as we are. They used a new gun. Uhuh. God!
181,Do not change or edit it without written permission. The words are carefully chosen to provide users with the information they need about what they can legally do with the texts. ,**Welcome To The World of Free Plain,"**Welcome To The World of Free Plain Vanilla Electronic Texts** ""Etexts Readable By Both Humans and By Computers, Since 1971"" These Etexts Are Prepared By Thousands of Volunteers Project Gutenberg produces about two million dollars per hour from the production of all its etexts. This means that no one owns any of this etext except for Michael S. Hart, the Literary Archive Foundation, and other volunteers. International donations are accepted, but we don't know ANYTHING about how to make them tax-deductible, or even if they CAN be made deductible, and don't have the staff to handle it even if there are ways. All donations should be made to: Project Gutenberg Literary Archive Fund, PMB 113 1739 University Ave. Oxford, MS 38655-4109 ."
182,"But did that include primitive humans? Or the Bees? Or a ..._ CONTROL GROUP By ROGER DEE Stryker, captain of the ship, and Gibson, engineer, and linguist decide to go for a reconnaissance mission to an uninhabited island called Alphard Six. ",They'll need to find out who the,"They'll need to find out who the heck they're looking for--they don't have a rear-guard or booby trap here, so there's only one conclusion left: There's no one down there at all--we're victims of the ""first joint hallucination in psychiatric history"" . The narrator notes that this is the first time he's heard anything about aliens since the Hymenop invasion more than a hundred years ago. This makes him wonder if aliens might be on the move. He also wonders if aliens are really human beings living on Earth."
183,,Mr. Openshaw had been a salesman for,"Mr. Openshaw had been a salesman for a large manufacturing firm, which was extending their business in the city; where he now works as superintendant of affairs. He enjoys the change, having a kind of curiosity about London, and an odd, shrewd contempt for the inhabitants. His wife is a pretty, gentle woman, who has two children by Frank Wilson, her first husband. The elder child is named Edwin, who can just prattle."
184,"This publication was renewed. Minor typographical errors have been corrected without note. Dialect spellings, contractions and discrepancies have been retained. AttENTION SPINT PATRICK President O'Hanrahan of the planetary government of Eire listens unhappily to his official guest, Sean O'Donohue chairman of the Committee on the Condition of the Planet Eire. He has been in Eire for three days when he hears a voice telling him that they will try to ""hide the shenanigans that've destroyed all the sacrifices Earth's made to have Eire a true Erse colony, ready for Erse lads and colleens to move to and have room for their children and their grandchildren too. The president is bitter because he knows that there are no snakes anywhere on Eire--only humans. Moira, his granddaughter, looks sympathetic at the president's plight. However, she does not seem happy about it. ",A black snake comes out of a,A black snake comes out of a hole in the presidential mansion. It is discovered that this diny is dead. This makes the president angry even more. He calls for a cabinet meeting so that he can explain what has happened.
185,S. copyright on this publication was renewed.] One man's fact is fantasy for another--except the man whose fantasies become solid facts! ,His chisel and mallet cut into the,"His chisel and mallet cut into the granite wall of the cave. He creates a table, utensils and plates out of the remnants of the meal. He then creates a chair from the ashes of his wrecked ship. The inscription reads: I ROSE FROM THE SLIME OF THE PLANET."
186,"Lovell stops by the Stetsons' to visit Aunt Sally and Uncle Tom, who have been married for fifty years. Lovell tells them that he has bought Aunt Sally's old house from Peter Townley. They are not to know anything about their wedding until the night of the wedding, so Lovell decides to stay a few more weeks at the station hotel in Bloor-Henderson to help him out with his plans. He goes up to Mrs. Stetson and asks her if any of the furniture could be put back in the poorhouse. She says no, but she thinks it will be nice since they won't know anything until after the wedding. After tea, Lovell returns to Aunt Sally saying goodbye to the place where she was born and raised. It is now boarded up and empty. Everyone in Blair is in attendance except for the matron of the Poor House. The next day Lovell visits Aunt Sally again and tells her how much money he owes her. When he gets home, he finds all her old household goods had been taken care of. All her old furniture were back in their places as well. He also gives Aunt Sally a purse full of twenty-five dollar gold pieces. ",That night Paul King presents Aunt Sally,That night Paul King presents Aunt Sally with a little golden wedding present. He tells her that there's enough left to pay off her passage back west. He then proceeds to buy Aunt Sally & Uncle Tom's old farmhouse. There is a lively supper and a rousing reception.
